name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Schwimmclub Frauenfeld;;;https://schwimmclubfrauenfeld.ch/;200;;Frauenfeld;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Fricktal;;;http://www.scfricktal.ch/;200;;Frick;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Frosch Aegeri;;;https://www.scfrosch.ch/;200;;Unterägeri;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Frutigen;;;https://schwimmclubfrutigen.ch/;200;;Frutigen;;Schwimmschule / Breitensport (Kat. B);
Schwimmclub Herisau;;;https://www.sc-herisau.ch/;000;;Herisau;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Horgen;;;https://www.schorgen.ch/;200;;Horgen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Kreuzlingen;;;https://sckreuzlingen.ch/;200;;Kreuzlingen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Liestal;;;https://www.scliestal.ch/;200;;Liestal;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Meilen;;;https://www.scmeilen.ch/;200;;Meilen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Regensdorf;;;http://scraegi.ch/;200;;Buchs ZH;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Region Bremgarten;;;https://www.scrb.ch/;200;;Bremgarten AG;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Romanshorn;;;https://scromanshorn.ch/;200;;Romanshorn;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Schaffhausen;;;https://www.scsh.ch/;200;;Schaffhausen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Sihlfisch Adliswil;;;http://www.sihlfisch.ch/;200;;Adliswil;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Spiez;;;https://www.scsp.ch/;200;;Spiez;;Schwimmschule / Breitensport (Kat. B);
Schwimmclub St. Gallen 1909;;;https://www.scsg.ch/;200;;St. Gallen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Tägi Wettingen;;;http://www.sc-taegi.ch/;200;;Wettingen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Thalwil;;;https://scthalwil.ch/;200;;Thalwil;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Unterland;;;http://www.scul.li/;404;;Eschen (FL);;Assoziierter Verein;
Schwimmclub Uster;;;https://scuw.ch/;200;;Uster;;Schwimmverein (Wettkampf, Kat. A);
Schwimmclub Weggis;;;http://www.schwimmclub-weggis.ch/;404;;Zug;;Schwimmschule / Breitensport (Kat. B);
Schwimmclub Winterthur;;;https://www.sc-winterthur.ch/;200;;Winterthur;;Schwimmverein (Wettkampf, Kat. A);
